TF	target	importance
JUN	WDR78	1.998708906060211
KLF6	SORT1	1.9985217498490595
HNF1B	RXRA	1.997411413826097
MLXIPL	HNF4A	1.9943757803296072
SOX4	SMAD3	1.9911148529532308
NR5A2	NEGR1	1.9887633197455337
MLXIPL	AL450992.1	1.985731948482498
CEBPA	TXNIP	1.983819877491477
SMAD2	FAM102B	1.983263442667429
FOXJ3	ROR1	1.9821739249773884
SOX4	PRKAA2	1.9818426334269896
KLF6	JUN	1.9807858962594225
HNF1A	FLG-AS1	1.9804498002351214
TP53	MYOCOS	1.9756798238903386
TBX15	GNG12-AS1	1.9740519837322257
CEBPA	LINC01767	1.9706209877009848
PPARA	NR1H4	1.970357993386595
KLF6	F3	1.9695496715616034
SMAD3	FOXJ3	1.9689192695338993
MLXIPL	HNF1A	1.9648358643424255
PRKAA2	DNAJB4	1.9646468241966102
RUNX3	PLA2G2A	1.9644562499384843
TCF7L2	SELL	1.9632009505200554
STAT3	EPHB2	1.9604220759769226
FOXA3	PYHIN1	1.9603205162304904
NR1H4	SPTA1	1.9592295941578148
PBX1	ADGRL2	1.958366622478866
JUN	SLC16A1	1.954690186683865
MLXIPL	NR5A2	1.9517213264573785
ATF5	SORT1	1.9494972190392388
SOX4	AC104170.1	1.9494349223412268
CEBPA	RXRB	1.9472874641755982
HNF1A	FOXJ3	1.9443391964978856
FOXA2	SOX9	1.9377626136986177
ATF5	ZSWIM5	1.935596581320357
FOXA2	KIAA0040	1.9353886548913537
MAFK	AC099788.1	1.9343651189307132
PPARG	AL033530.1	1.9299378419899758
CEBPA	AC099788.1	1.929871923124523
ATF2	AL033530.1	1.9292418540504266
RXRA	AJAP1	1.924720897802762
STAT3	CEBPB	1.9240299405896633
PPARG	AL078459.1	1.9217036107580168
MYC	MAFG	1.921277884213428
ATF3	MYOCOS	1.9173169247379285
TEAD1	FDPS	1.917315649085353
STAT3	KLF6	1.9158639874318244
PPARA	SPAG17	1.9156929092050066
E2F3	HNF1A	1.9156864720971034
NFE2L2	LINC01767	1.9156650945479716
GATA4	TEAD1	1.9151398055754225
CTNNB1	LINC01362	1.9145924042076023
NR1H4	TGFBR3	1.9136501510863493
RXRB	DPYD-AS1	1.9131931722423268
HNF1A	SLC16A1	1.9128130002350523
TCF7L2	FOXA1	1.9108795602294066
NFE2L2	UAP1	1.9093875742712347
NR1H4	SORT1	1.9079700647854514
TCF7L2	RXRA	1.9052276288997743
RXRB	MAFG	1.9013152810175225
JUN	FOXJ3	1.8990158854785275
GATA4	HNF4A	1.8976019875265255
